Timestamp,Department,Job Role,Work Satisfaction, Manager Support ,Would You Recommend This Company?,Work Mode,Years of Experience,Overall Company Rating 
6/5/2026 5:45,Sales,Team Lead,4,4,Yes,Work From Home,3–5 years,4
6/5/2026 5:46,HR,Senior Executive,5,5,Definitely Yes,Work From Home,5+ years,5
6/5/2026 5:47,Sales,Manager,4,4,Yes,Work From Office,5+ years,4
6/5/2026 5:47,Marketing,Senior Executive,4,4,Neutral,Hybrid,3–5 years,4
6/5/2026 5:48,IT,Manager,5,5,Yes,Hybrid,5+ years,5
6/5/2026 5:49,Operations,Intern,3,3,No,Work From Office,Less than 1 year,3
6/5/2026 5:49,Finance,Intern,2,2,Neutral,Work From Office,Less than 1 year,2
6/5/2026 11:06,IT,Team Lead,5,5,Definitely Yes,Hybrid,1–3 years,5
6/5/2026 11:15,HR,Junior Executive,5,4,Yes,Hybrid,3–5 years,5
6/5/2026 11:15,Finance,Junior Executive,2,5,No,Work From Home,3–5 years,3
6/5/2026 12:32,Marketing,Junior Executive,5,4,Yes,Work From Office,1–3 years,4
6/5/2026 12:33,HR,Team Lead,4,4,Yes,Work From Home,3–5 years,4
6/5/2026 12:33,Sales,Manager,5,5,Definitely Yes,Work From Office,5+ years,5
6/5/2026 12:34,IT,Senior Executive,3,3,Definitely Yes,Work From Home,1–3 years,4
6/5/2026 12:35,Finance,Manager,5,5,Definitely Yes,Work From Home,5+ years,5
6/5/2026 12:38,Marketing,Senior Executive,4,4,Yes,Hybrid,1–3 years,4
6/5/2026 9:00,HR,Intern,3,3,Neutral,Hybrid,Less than 1 year,3
6/5/2026 9:15,Sales,Junior Executive,4,4,Yes,Work From Office,1-3 years,4
6/5/2026 9:30,IT,Senior Executive,5,5,Definitely Yes,Work From Home,3-5 years,5
6/5/2026 9:45,Finance,Team Lead,2,2,No,Work From Office,5+ years,2
6/5/2026 10:00,Marketing,Manager,4,5,Definitely Yes,Hybrid,5+ years,5
6/5/2026 10:15,Operations,Junior Executive,3,3,Neutral,Work From Home,1-3 years,3
6/5/2026 10:30,HR,Senior Executive,5,4,Definitely Yes,Hybrid,3-5 years,4
6/5/2026 10:45,IT,Intern,2,2,No,Work From Office,Less than 1 year,2
6/5/2026 11:00,Sales,Team Lead,4,4,Yes,Work From Home,5+ years,4
6/5/2026 11:15,Finance,Manager,5,5,Definitely Yes,Hybrid,5+ years,5
6/5/2026 11:30,Marketing,Intern,3,2,Neutral,Work From Office,Less than 1 year,3
6/5/2026 11:45,Operations,Senior Executive,4,4,Yes,Work From Home,3-5 years,4
6/5/2026 12:00,HR,Team Lead,2,3,No,Hybrid,1-3 years,2
6/5/2026 12:15,IT,Manager,5,5,Definitely Yes,Work From Home,5+ years,5
6/5/2026 12:30,Sales,Intern,3,3,Neutral,Work From Office,Less than 1 year,3
6/5/2026 12:45,Finance,Junior Executive,4,3,Yes,Hybrid,1-3 years,4
6/5/2026 13:00,Marketing,Senior Executive,5,4,Definitely Yes,Work From Home,3-5 years,5
6/5/2026 13:15,Operations,Team Lead,3,4,Yes,Work From Office,5+ years,4
6/5/2026 13:30,HR,Manager,4,5,Definitely Yes,Hybrid,5+ years,5
6/5/2026 13:45,IT,Junior Executive,2,2,Definitely No,Work From Office,1-3 years,2
6/5/2026 14:00,Sales,Senior Executive,5,5,Definitely Yes,Work From Home,3-5 years,5
6/5/2026 14:15,Finance,Intern,3,3,Neutral,Hybrid,Less than 1 year,3
6/5/2026 14:30,Marketing,Team Lead,4,4,Yes,Work From Office,1-3 years,4
6/5/2026 14:45,Operations,Manager,5,5,Definitely Yes,Work From Home,5+ years,5
6/5/2026 15:00,HR,Junior Executive,3,2,No,Work From Office,1-3 years,2
